run,task,row,mean_activity
r2-A,REVERSE_INC,7,1.0
r2-A,REVERSE_SWAP,0,1.0
r2-A,REVERSE_SWAP,1,1.0
r2-A,REVERSE_SWAP,2,1.0
r2-A,REVERSE_SWAP,3,1.0
r2-A,REVERSE_SWAP,4,1.0
r2-A,REVERSE_SWAP,5,1.0
r2-A,REVERSE_SWAP,6,1.0
r2-A,REVERSE_SWAP,7,1.0
r2-A,ROTATE_INC,0,1.0
r2-A,ROTATE_INC,1,1.0
r2-A,ROTATE_INC,2,1.0
r2-A,ROTATE_INC,3,1.0
r2-A,ROTATE_INC,4,1.0
r2-A,ROTATE_INC,5,1.0
r2-A,ROTATE_INC,6,1.0
r2-A,ROTATE_INC,7,1.0
r2-A,ROTATE_SWAP,0,1.0
r2-A,ROTATE_SWAP,1,1.0
r2-A,ROTATE_SWAP,2,1.0
r2-A,ROTATE_SWAP,3,1.0
r2-A,ROTATE_SWAP,4,1.0
r2-A,ROTATE_SWAP,5,1.0
r2-A,ROTATE_SWAP,6,1.0
r2-A,ROTATE_SWAP,7,1.0
r2-A,INC_SWAP,0,1.0
r2-A,INC_SWAP,1,1.0
r2-A,INC_SWAP,2,1.0
r2-A,INC_SWAP,3,1.0
r2-A,INC_SWAP,4,1.0
r2-A,INC_SWAP,5,1.0
r2-A,INC_SWAP,6,1.0
r2-A,INC_SWAP,7,1.0
r2-B,REVERSE,0,1.0
r2-B,REVERSE,1,0.1436904857680201
r2-B,REVERSE,2,0.295119064450264
r2-B,REVERSE,3,0.3469047898054123
r2-B,REVERSE,4,0.3621428719162941
r2-B,REVERSE,5,0.2705952522158623
r2-B,REVERSE,6,0.1586904832720756
r2-B,REVERSE,7,0.4228571850061416
r2-B,ROTATE,0,1.0
r2-B,ROTATE,1,0.1346428661420941
r2-B,ROTATE,2,0.3008333468437195
r2-B,ROTATE,3,0.3428571730852127
r2-B,ROTATE,4,0.3711904951930046
r2-B,ROTATE,5,0.2651190610229969
r2-B,ROTATE,6,0.1640476277470588
r2-B,ROTATE,7,0.4213095650076866
r2-B,INC,0,1.0
r2-B,INC,1,0.1259523892588913
r2-B,INC,2,0.3084523946046829
r2-B,INC,3,0.3319047874212265
r2-B,INC,4,0.3733333495259285
r2-B,INC,5,0.2695238246023655
r2-B,INC,6,0.1647619116306305
r2-B,INC,7,0.4260714727640152
r2-B,SWAP,0,1.0
r2-B,SWAP,1,0.1226190563291311
r2-B,SWAP,2,0.3047619214653969
r2-B,SWAP,3,0.3455952674150467
r2-B,SWAP,4,0.3711904966831207
r2-B,SWAP,5,0.2673809650540352
r2-B,SWAP,6,0.1652381032705307
r2-B,SWAP,7,0.4232143291831016
r2-B,REVERSE_ROTATE,0,1.0
r2-B,REVERSE_ROTATE,1,0.1515476294979453
r2-B,REVERSE_ROTATE,2,0.2935714450478554
r2-B,REVERSE_ROTATE,3,0.3404762169718742
r2-B,REVERSE_ROTATE,4,0.3645238256454468
r2-B,REVERSE_ROTATE,5,0.2685714437067508
r2-B,REVERSE_ROTATE,6,0.1566666734218597
r2-B,REVERSE_ROTATE,7,0.4246428990364074
r2-B,REVERSE_INC,0,1.0
r2-B,REVERSE_INC,1,0.1752381081134081
r2-B,REVERSE_INC,2,0.2919047757983207
r2-B,REVERSE_INC,3,0.3291666904091835
r2-B,REVERSE_INC,4,0.3550000146031379
r2-B,REVERSE_INC,5,0.2704762051999569
r2-B,REVERSE_INC,6,0.1533333398401737
r2-B,REVERSE_INC,7,0.4248809996247291
r2-B,REVERSE_SWAP,0,1.0
r2-B,REVERSE_SWAP,1,0.1411904852092266
r2-B,REVERSE_SWAP,2,0.2947619205713272
r2-B,REVERSE_SWAP,3,0.3491666936874389
r2-B,REVERSE_SWAP,4,0.3647619217634201
r2-B,REVERSE_SWAP,5,0.2708333453536033
r2-B,REVERSE_SWAP,6,0.1577381028234958
r2-B,REVERSE_SWAP,7,0.4215476575493813
r2-B,ROTATE_INC,0,1.0
r2-B,ROTATE_INC,1,0.1522619163617491
r2-B,ROTATE_INC,2,0.3047619190812111
r2-B,ROTATE_INC,3,0.3279762154817581
r2-B,ROTATE_INC,4,0.3677381125092506
r2-B,ROTATE_INC,5,0.2654762053489685
r2-B,ROTATE_INC,6,0.1561904828250408
r2-B,ROTATE_INC,7,0.4255952835083008
r2-B,ROTATE_SWAP,0,1.0
r2-B,ROTATE_SWAP,1,0.1405952489376068
r2-B,ROTATE_SWAP,2,0.296547634601593
r2-B,ROTATE_SWAP,3,0.3405952653288841
r2-B,ROTATE_SWAP,4,0.3645238253474235
r2-B,ROTATE_SWAP,5,0.2704762057960033
r2-B,ROTATE_SWAP,6,0.1591666745394468
r2-B,ROTATE_SWAP,7,0.4280952823162078
r2-B,INC_SWAP,0,1.0
r2-B,INC_SWAP,1,0.1369047708064317
r2-B,INC_SWAP,2,0.3036904889345169
r2-B,INC_SWAP,3,0.3352381217479706
r2-B,INC_SWAP,4,0.3700000175833702
r2-B,INC_SWAP,5,0.2696428732573986
r2-B,INC_SWAP,6,0.1576190543174743
r2-B,INC_SWAP,7,0.4269048064947128
r2-C,REVERSE,0,1.0
